Index,Day,Month,Year,Initials,SVL,VT,R,Weight,Sex,Page,Comments,PredictedMass,CorrectedMass,FinalMass,,
17949,17,2,1989,MEM,118,127,C,62.37,J,34,,51.34275863,62.61312028,62.37,,
17949A,18,2,1989,MEM,76,78,C,13.62,J,34,,11.30470554,13.78622627,13.62,,
17951A,18,2,1989,MEM,102,65,C,33.24,J,34,,29.48982643,35.96320296,33.24,,
17952,6,11,1949,WD,216,241,C,496,,34,,405.6750793,494.7257065,496,,
17976,,2,1988,MEM,136,150,C,125.1,J,34,,102.5326527,125.0398204,125.1,,
17980,,2,1988,MEM,47.4,48,C,4.24,J,35,,3.527211936,4.301477971,4.24,,
17982,,2,1988,MEM,55.3,58,C,7.42,J,35,,6.135782005,7.482660981,7.42,,
18137,13,5,1992,AC,132,139,C,80,JM,35,,66.10810361,80.61963854,80,,
18193,11,2,1989,MEM,109,124,C,55.12,J,35,,44.9218999,54.78280475,55.12,,
18208,3,2,1973,IC,271,278,C,609,M,35,,505.5153728,616.4821619,609,,
18224,,3,1988,MEM,52.1,58,C,5.13,J,35,,4.197503334,5.118906505,5.13,,
18233A,,,1986,DN,228,255,C,488,F,35,0 E,398.9574011,486.533416,488,,
18236,,2,1988,MEM,47.7,52,C,4.3,J,35,,3.531694327,4.306944301,4.3,,
18238,,2,1988,MEM,47,51,C,3.99,J,36,,3.279793307,3.999747935,3.99,,
18239,10,11,1971,IC,238,247,C,425,M,36,,352.0826902,429.3691344,425,,
18241,18,2,1989,MEM,60,63,C,7,J,36,,5.787351054,7.057745188,7,,
18265,19,2,1989,MEM,119,136,C,66.14,J,36,,53.85710085,65.67939128,66.14,,
18271,19,2,1989,MEM,61,64,C,7.91,J,36,,6.540591206,7.976330738,7.91,,
18305,17,2,1989,MEM,91,106,C,26.99,J,36,,21.89946007,26.70665863,26.99,,
18321,17,2,1989,MEM,108,120,C,48.45,J,36,,39.65689655,48.36206897,48.45,,
18329,17,2,1989,MEM,100,108,C,89.62,J,36,,73.72969719,89.91426487,89.62,,
18333,17,2,1989,MEM,128,134,C,69.59,J,36,,57.5642162,70.20026366,69.59,,
18335,17,2,1989,MEM,126,148,C,78.35,J,36,,63.47214524,77.40505517,78.35,,
18350,11,11,1971,IC,176,204,C,195,F,36,,158.3686666,193.1325203,195,,
18352,,3,1988,MEM,95.4,102,C,57.44,J,36,,47.33952764,57.73113126,57.44,,
18360,,2,1988,MEM,107.8,123,C,56.6,J,36,,46.10267894,56.22277919,56.6,,
